id,user_id,watched_video_id,watch_time_in_sec,ad_cat_id,click,ad_id,final_gender_code,age_level,occupation,brand_id,ad_title
1,202,9195,74,8,0,146,2,4,10,29,H0ijXu4iKz
2,333,7331,143,8,0,146,2,2,8,29,H0ijXu4iKz
3,618,8403,192,7,0,241,2,5,5,6,YfU6EXNoY3
4,693,6903,202,3,1,53,2,5,4,35,9lYdusQeW3
5,89,1758,92,4,0,280,2,3,8,32,8s7n19QklS
6,12,8615,203,8,0,146,1,3,7,29,H0ijXu4iKz
7,459,5730,119,1,1,212,1,3,7,19,kAmPTImsgf
8,527,119,38,7,0,358,2,2,5,34,wVo0lPFxnR
9,794,150,148,7,0,31,2,2,8,18,JnsyQDjqkQ
10,335,3726,284,4,0,28,2,4,9,6,CnDlajFixV
11,574,3162,297,1,0,83,2,2,4,16,OSuL3B39bT
12,513,258,221,3,1,176,2,5,6,12,PorTD6vr9x
13,124,7378,88,3,0,393,2,4,4,38,ek92m6BD5J
14,643,8549,158,10,0,100,2,4,2,38,OFoNT4dX7K
15,217,3249,117,8,0,333,1,1,7,30,OcLaQDxUXr
16,437,4154,283,5,0,142,2,5,10,3,szYhDGyFof
17,936,8609,288,10,0,88,1,5,2,2,4jzntFrFNR
18,145,9838,94,7,1,96,2,4,5,7,RtDnEy2OhD
19,980,1605,90,2,0,201,2,5,1,38,v2UlGTwWVJ
20,10,2673,246,10,1,381,1,5,7,38,dhpWc1fZAi
21,791,2250,63,3,1,323,1,4,6,18,WHzTHDA5wZ
22,164,169,100,9,1,147,2,2,3,16,qBUfYci8rS
23,6,313,65,9,0,15,1,3,10,39,ze63JQQWrE
24,850,7613,86,3,0,77,2,3,7,15,RsbkLIaKOS
25,810,5048,27,5,0,361,2,5,2,15,dpkXZLhVkG
26,324,9238,245,9,1,19,1,1,6,9,AV4yAJHsL2
27,823,7258,173,4,1,191,1,3,2,19,IVlheNHXvk
28,864,7287,88,10,0,172,2,2,7,20,GFagioFWMO
29,564,8551,175,1,1,185,1,4,3,17,1vrUjwuG43
30,195,6276,76,10,1,281,1,5,7,6,Ghpdp7xORC
31,417,3283,191,9,1,59,2,4,9,32,IlcC1Q9yqo
32,379,4712,170,1,1,193,1,4,1,8,a4sONQVPRH
33,118,2731,291,3,0,18,1,5,4,5,MRsNFfMepf
34,830,425,115,8,1,20,2,3,9,12,WnCOhnoXM6
35,463,5316,260,2,0,164,2,2,1,3,xy38dCBPP7
36,938,1781,292,9,0,199,2,3,2,22,KSElZ2DLM1
37,440,2672,109,5,0,161,2,2,3,7,u815CwNHmc
38,591,6297,219,7,1,296,2,2,7,9,e5phMJn62s
39,48,7701,90,5,1,137,2,1,1,4,GsmBaqCpyS
40,243,1746,278,4,1,46,2,3,2,19,xQlhAuZvbR
41,257,8438,108,4,1,330,1,5,9,9,rr95qA4TtZ
42,759,8180,166,10,1,29,1,5,8,17,XrZf8n7teT
43,729,3489,137,5,1,309,1,3,1,26,tijzYNbnwO
44,786,1031,5,7,0,55,2,1,1,16,2fTuaryG2M
45,755,3855,44,8,1,248,1,5,9,32,Du5EWKhjOV
46,717,7838,100,2,0,2,2,3,3,8,OrZ6WLgGZY
47,536,7459,200,4,0,191,1,4,4,19,IVlheNHXvk
48,26,9745,55,5,0,139,2,5,5,3,NhrHbF1inF
49,710,7916,122,5,0,137,1,2,4,4,GsmBaqCpyS
50,533,7020,29,3,0,49,1,1,1,25,EkupG0Wr4V
51,563,926,123,7,1,183,2,1,6,26,D2oRADyXeY
52,309,5411,263,3,0,297,1,4,7,31,23Zyi18qUE
53,67,698,46,8,1,271,1,3,2,16,54mGEl8aAv
54,591,3149,207,7,0,159,2,2,7,31,YXWdPWSaGg
55,886,4735,238,4,0,249,1,2,3,6,QFvY01A8fA
56,679,5113,274,1,0,34,2,5,6,27,XAOd5y1qr0
57,856,4120,150,1,0,376,1,1,9,10,rRZ89WKCSn
58,721,8154,141,6,0,114,2,5,3,34,ZkcvyMdWVU
59,388,326,99,3,1,221,2,3,8,20,ARlhAc4M2U
60,51,2916,159,4,0,108,2,5,7,34,SlEXsKqc92
61,250,5825,17,6,0,397,2,3,7,20,m60sbycVCf
62,694,7354,110,5,1,79,2,4,4,13,YjADj6Irrn
63,673,2952,191,9,1,347,2,3,1,31,JnqRKO7vtI
64,816,8216,210,10,1,394,2,1,6,18,F1MG80co5u
65,990,4160,68,10,0,8,1,3,3,10,fLgjOruTUM
66,950,4255,185,4,1,331,1,3,4,12,PNz8MQhSQf
67,494,7727,46,4,1,395,2,1,1,14,E4FLtpomTT
68,778,9045,244,5,1,161,1,4,6,7,u815CwNHmc
69,105,5329,43,5,1,247,1,4,7,1,rZlcFOpvfN
70,333,2512,272,6,1,128,2,2,8,6,LLbA6duYql
71,162,3388,41,3,0,49,2,3,6,25,EkupG0Wr4V
72,42,1290,9,4,0,81,2,2,9,14,26KONs6rNP
73,320,9103,244,10,1,299,2,5,9,23,sG5UetCxLn
74,305,6640,138,8,0,271,2,4,3,16,54mGEl8aAv
75,9,6539,159,2,1,167,2,4,6,20,DBBCplCVWe
76,362,3062,194,3,1,295,2,3,6,11,bQAm2hdCVB
77,171,2429,58,3,1,277,1,4,3,7,PQA2EBCRxs
78,575,9374,134,4,1,81,2,4,9,14,26KONs6rNP
79,121,8498,292,6,1,378,1,4,5,20,81MOKgXXBi
80,208,298,286,10,1,90,1,4,10,18,r8k03sOkbV
81,157,9635,298,3,1,180,2,4,2,9,Vvrj40k5zp
82,556,8209,6,1,1,284,2,5,7,34,fFs2egll1j
83,88,9358,292,4,0,69,2,5,10,39,Ytsf0L4ZJe
84,447,2950,232,5,1,224,1,5,5,14,TsyCG6M6cy
85,129,4155,272,7,1,341,1,3,2,9,OmRgmFcdwz
86,776,2936,61,3,1,35,2,4,4,1,WY6zA5sIH9
87,980,6857,32,8,1,386,2,5,1,13,xB1ltYTE6Y
88,584,7789,113,9,1,51,1,4,10,7,ePgVNayNBk
89,184,7423,168,5,1,4,2,5,5,25,UkL8XPYxRj
90,392,3153,57,2,1,98,1,4,5,9,eeF4pEOTwn
91,759,8206,219,7,1,375,1,5,8,32,4FMVNHVUad
92,217,8438,124,4,1,357,1,1,7,25,b4WZ3SBsFy
93,709,2225,224,2,0,13,1,2,8,14,rvgV1bE8DJ
94,261,1849,7,10,0,391,2,3,9,8,4r9Qw0EGgJ
95,90,10048,165,10,0,143,1,1,5,29,mfGgkVMoHc
96,167,2233,51,4,1,400,2,3,10,8,HWFrOKDNsz
97,268,1397,220,6,0,258,2,4,2,5,fElydbExTz
98,469,8964,273,5,0,332,1,4,8,24,7xhOb2MCzC
99,202,862,154,7,0,10,2,4,10,4,b8x8ZgU8xD
100,129,5629,17,3,0,334,1,3,2,37,vuhl3TiTO8
101,7,4994,188,8,0,17,2,5,2,18,MBXpB8EpCS
102,567,5385,287,7,1,5,2,2,4,38,x3fDp8IF3o
103,930,5925,113,9,0,362,2,3,6,36,UmXn3prQX2
104,467,9527,152,9,1,87,2,3,8,24,NINnwBgoW4
105,935,5988,266,7,1,241,1,1,3,6,YfU6EXNoY3
106,393,4489,254,9,1,57,2,2,5,21,P946hSq9wO
107,494,4618,43,2,0,327,2,1,1,10,ZGKM28eudt
108,727,159,198,6,1,316,2,5,5,23,lsJw1Hd8u0
109,467,1043,94,6,1,258,2,3,8,5,fElydbExTz
110,266,6748,196,9,1,30,2,4,3,15,zF4D1PcC7F
111,672,9461,18,8,1,220,2,1,2,1,mAi0bFJ3ZQ
112,355,2974,83,10,0,251,2,6,8,14,phijTf9rad
113,481,1062,136,3,0,229,1,5,9,27,jOtiS0nh20
114,483,5870,199,9,0,211,2,2,3,27,zlppMv48Fj
115,942,8322,114,10,0,100,2,3,6,38,OFoNT4dX7K
116,865,6907,196,4,0,46,2,5,3,19,xQlhAuZvbR
117,708,1378,0,9,1,41,1,3,9,3,03mySCczDH
118,920,7086,87,9,0,298,1,4,1,33,QiUOksxHJI
119,2,6139,111,10,1,373,1,4,9,21,PnhaaGhMY5
120,841,8157,280,4,0,71,1,1,6,22,mmYQwpRC0G
121,671,7911,8,3,1,342,2,4,8,17,r3AuNWPNHk
122,62,7585,208,2,1,188,2,3,7,3,ZMVnVuJ13U
123,302,7480,277,8,0,250,2,3,2,10,wcTD2Z2dwe
124,188,6711,93,10,0,144,2,2,3,9,3OCvtETDI1
125,575,3494,46,10,0,90,2,4,9,18,r8k03sOkbV
126,55,6639,233,6,0,63,2,2,8,34,asoL1PAL2Y
127,294,4268,264,10,0,88,2,6,5,2,4jzntFrFNR
128,8,1443,98,10,0,173,2,5,2,2,wNJCd2E9iI
129,180,2947,245,1,0,182,2,6,4,8,uFrdt4cCxP
130,976,5358,149,4,0,43,1,3,8,7,PYzIU7n3aa
131,943,8873,124,3,1,393,2,3,5,38,ek92m6BD5J
132,648,1957,261,9,0,158,1,2,9,8,nCH8B0HTQj
133,258,7763,119,3,0,104,2,5,10,39,yZTZzdpmrU
134,870,8696,274,6,0,48,2,5,2,14,Q9IwOQFQNs
135,782,2676,52,1,1,208,2,2,6,4,lKKm7Q80cR
136,917,3922,221,6,0,371,2,3,10,22,SOaueymCtH
137,620,8345,39,1,1,151,2,1,7,20,DrBbj5aGuj
138,280,9601,291,3,0,270,2,4,1,24,0Q93MZmq6k
139,582,4840,265,1,1,383,1,5,9,6,vsvRY7KSVD
140,715,1585,127,5,1,234,2,2,10,17,thL3yEn16O
141,61,3969,147,8,1,236,2,4,6,12,ESKW5CaaSY
142,74,5155,233,10,0,143,2,3,7,29,mfGgkVMoHc
143,689,9505,18,1,0,284,2,5,1,34,fFs2egll1j
144,179,5455,184,8,0,39,2,1,3,23,pYWzIW0A0A
145,71,7502,155,7,1,358,1,5,9,34,wVo0lPFxnR
146,166,9312,197,9,0,27,2,5,3,8,C927GwEeS6
147,21,5513,57,3,1,206,2,3,10,14,WL7Fl3zFan
148,773,2794,145,2,0,168,2,3,8,32,lDWDWpryGI
149,834,7177,58,2,1,235,2,3,5,37,EbfqdlFeXM
150,461,6732,69,6,1,290,2,3,7,19,xj5uMBowYz
151,822,4610,85,5,0,332,2,1,10,24,7xhOb2MCzC
152,242,8928,8,8,0,333,1,2,4,30,OcLaQDxUXr
153,234,803,233,1,1,246,2,3,6,10,30QlpEKPp2
154,860,7826,291,7,1,67,2,2,2,11,MFFAP7Dqwv
155,624,896,162,1,0,193,1,5,6,8,a4sONQVPRH
156,429,1053,161,3,0,216,2,4,9,33,EYO5hHilfQ
157,324,9506,182,9,0,93,1,1,6,3,iEIhhaIuM0
158,215,1850,132,8,1,148,2,2,10,27,7EqIUq31IS
159,879,3835,115,3,1,322,2,4,10,35,cHRkQGKD2u
160,844,5768,72,8,1,190,2,4,5,31,6Y1R3i6x69
161,568,7035,174,10,0,210,2,4,1,25,m7SRaxodVY
162,136,3226,12,4,0,89,2,3,6,30,Oq3r2t5eWJ
163,828,8023,47,7,1,296,2,2,5,9,e5phMJn62s
164,985,5281,120,9,0,253,2,5,4,15,jd7DnJMgRo
165,635,8222,101,1,0,338,2,4,10,27,q4MPmYIFMY
166,537,8227,283,5,1,11,2,1,4,8,IetsSaD7Z1
167,846,1415,238,9,1,93,2,4,4,3,iEIhhaIuM0
168,925,5852,99,5,1,130,2,5,10,32,ZK1DFo4HG2
169,288,2085,47,2,1,235,1,5,8,37,EbfqdlFeXM
170,93,5199,140,6,0,398,2,2,1,38,utwHDeLjQb
171,112,8837,289,9,1,202,1,3,8,28,T9pNCKBpS0
172,407,1288,264,9,1,27,2,2,9,8,C927GwEeS6
173,955,9027,3,4,0,155,1,1,6,3,hdDhZ6cfZU
174,925,6605,149,10,1,88,2,5,10,2,4jzntFrFNR
175,494,8539,112,4,1,140,2,1,1,7,wo7Nsj9vJC
176,952,6785,202,5,0,102,2,3,3,10,Vj3KyqkzK2
177,817,7556,103,9,1,318,2,5,2,17,YkA9jIXMBj
178,261,5243,35,2,0,327,2,3,9,10,ZGKM28eudt
179,977,4083,129,1,0,3,2,2,8,22,j37JDFybMq
180,199,3827,237,10,0,281,2,5,10,6,Ghpdp7xORC
181,783,9257,142,1,0,177,2,2,8,10,wXnd0hqQoF
182,205,352,215,6,1,343,2,2,3,8,lFu875mOQW
183,616,3442,277,3,1,133,2,5,5,35,ZeTsKoHdv2
184,697,4068,8,3,0,49,2,4,6,25,EkupG0Wr4V
185,423,1808,69,10,0,144,2,4,7,9,3OCvtETDI1
186,220,239,296,4,1,14,2,3,2,22,opYrwEBhjG
187,983,4284,130,7,0,183,2,3,3,26,D2oRADyXeY
188,253,1557,48,4,0,169,2,5,9,10,dsdLCNHwf3
189,614,9779,211,1,1,345,1,1,1,28,KMCMN4tGMm
190,475,5972,132,4,1,249,2,4,8,6,QFvY01A8fA
191,866,7980,213,7,0,195,2,5,9,36,F0SBoLRMvg
192,319,1742,127,8,1,248,2,4,2,32,Du5EWKhjOV
193,217,3738,224,3,0,189,1,1,7,13,94erfjng3R
194,942,6365,116,8,1,326,2,3,6,32,JhIlbJACOK
195,843,5641,254,1,1,45,1,3,6,40,pPJwAxugVs
196,476,7782,1,9,1,199,1,3,4,22,KSElZ2DLM1
197,710,6047,12,3,0,293,1,2,4,14,306HtR6tj6
198,985,2148,98,6,0,389,2,5,4,21,Fd8tohdTGM
199,478,9273,37,8,1,136,2,5,8,15,YZHyLtKWrg
200,680,4657,213,4,1,249,1,5,9,6,QFvY01A8fA
201,704,6526,224,7,1,10,2,1,9,4,b8x8ZgU8xD
202,673,6800,273,10,0,282,2,3,1,40,xHJoCsFd45
203,760,8829,23,1,0,376,1,2,1,10,rRZ89WKCSn
204,582,6297,231,7,0,358,1,5,9,34,wVo0lPFxnR
205,152,4617,169,3,1,197,2,1,7,2,34FFMS9fqn
206,338,2089,220,5,1,306,2,3,10,32,YqkcU07MNp
207,381,7530,13,1,0,356,1,5,2,23,uoOuiMRdh1
